link,weight,sleeping capacity,price
https://www.rei.com/product/891852/eno-festy-flags,9999,None,14.93
https://www.rei.com/product/879915/the-north-face-stormbreak-3-footprint,9999,None,45
https://www.rei.com/product/729798/coghlans-tent-peg-mallet-puller,9999,None,5.5
https://www.rei.com/product/152710/black-diamond-eldorado-ground-cloth,9999,None,49.95
https://www.rei.com/product/142164/caddis-rapid-sun-shade,5.109375,None,99.95
https://www.rei.com/product/110896/marmot-limestone-4p-footprint,9999,None,50
https://www.rei.com/product/144558/nemo-dragonfly-1-tent,2.8125,1-person,349.95
https://www.rei.com/product/845328/rei-co-op-snow-stake,9999,None,2.95
https://www.rei.com/product/143500/tentsile-una-tree-tent,7.0,1-person,200
https://www.rei.com/product/130426/sol-all-season-blanket,9999,None,16.95
https://www.rei.com/product/152711/black-diamond-firstlight-2p-ground-cloth,9999,None,49.95
https://www.rei.com/product/143384/msr-hubba-tour-3-tent,6.25,3-person,749.95
https://www.rei.com/product/169740/veer-basecamp-shelter,7.0,None,179
https://www.rei.com/product/111829/big-agnes-big-house-6-deluxe-footprint,9999,None,55
https://www.rei.com/product/143383/msr-hubba-tour-2-tent,5.25,2-person,649.95
https://www.rei.com/product/136134/kammok-mesa-mat-double,9999,None,39
https://www.rei.com/product/143382/msr-hubba-tour-1-tent,4.4375,1-person,549.95
https://www.rei.com/product/729006/mombasa-outback-travel-net-single,11.0,1-person,14
https://www.rei.com/product/129206/the-north-face-assault-2-tent,4.9375,2-person,589
https://www.rei.com/product/147177/big-agnes-sugarloaf-camp-footprint,9999,None,36.93
https://www.rei.com/product/147164/big-agnes-log-flume-shelter,8.5,None,261.93
https://www.rei.com/product/147307/msr-universal-footprint-2,9999,None,34.95
https://www.rei.com/product/150051/big-agnes-tiger-wall-2-carbon-tent,1.6875,2-person,999.95
https://www.rei.com/product/129527/nemo-losi-2-tent-footprint,9999,None,49.95
https://www.rei.com/product/144628/nemo-dragonfly-1-footprint,9999,None,39.95
https://www.rei.com/product/147168/big-agnes-battle-mountain-3-footprint,9999,None,90
https://www.rei.com/product/149177/the-north-face-golden-gate-4-footprint,9999,None,39.95
https://www.rei.com/product/150047/big-agnes-seedhouse-sl1-tent,3.3125,1-person,279.95
https://www.rei.com/product/129520/nemo-chogori-2-tent,7.4375,2-person,699.95
https://www.rei.com/product/129664/big-agnes-manzanares-hv-sl2-footprint,9999,None,44.93
https://www.rei.com/product/150044/big-agnes-onyx-tarp-carbon,10.0,None,499.95
https://www.rei.com/product/147170/big-agnes-bird-beak-sl3-footprint,9999,None,51.93
https://www.rei.com/product/358145/coghlans-tent-whisk-with-dust-pan,9999,None,4.5
https://www.rei.com/product/129528/nemo-losi-3-tent-footprint,9999,None,59.95
https://www.rei.com/product/829844/msr-reflective-utility-cord-kit,9999,None,22.95
https://www.rei.com/product/132407/big-agnes-tumble-4-mtnglo-footprint,9999,None,55
https://www.rei.com/product/147310/msr-universal-footprint-3-large,9999,None,44.95
https://www.rei.com/product/130162/cgear-multimats-sandlite-sand-free-mat,9999,None,69.95
https://www.rei.com/product/829839/msr-cyclone-tent-stakes-package-of-4,9999,None,24.95
https://www.rei.com/product/141934/msr-mutha-hubba-nx-3-tent,4.8125,3-person,549.95
https://www.rei.com/product/867980/gear-aid-elastic-shockcord-7-ft,9999,None,4.5
https://www.rei.com/product/147166/big-agnes-sugarloaf-camp-shelter,15.875,None,299.93
https://www.rei.com/product/129000/big-agnes-blow-down-tent-anchor-package-of-4,9999,None,49.95
https://www.rei.com/product/147151/big-agnes-c-bar-3-tent,4.8125,3-person,249.95
https://www.rei.com/product/882362/gear-aid-tent-sure-polyurethane-sealant-4-oz,9999,None,10.95
https://www.rei.com/product/147163/big-agnes-titan-6-mtnglo-tent,15.3125,6-person,599.95
https://www.rei.com/product/880488/nemo-hornet-2p-footprint,9999,None,49.95
https://www.rei.com/product/114815/cgear-multimats-sand-free-mat-3-x-3-ft,9999,None,30
https://www.rei.com/product/147155/big-agnes-bird-beak-sl2-tent,4.625,2-person,429.95
https://www.rei.com/product/102057/adventure-medical-kits-nano-heat-blanket,9999,None,29.95
https://www.rei.com/product/147165/big-agnes-mint-saloon-shade-shelter,12.5625,None,374.93
https://www.rei.com/product/147306/msr-universal-footprint-1-large,9999,None,34.95
https://www.rei.com/product/129519/nemo-losi-4-tent,9.25,4-person,449.95
https://www.rei.com/product/147258/msr-e-bivy,9999,None,99.95
https://www.rei.com/product/128997/big-agnes-three-forks-shelter,7.375,None,149.93
https://www.rei.com/product/147295/msr-thru-hiker-mesh-house-1,9999,None,149.95
https://www.rei.com/product/129205/the-north-face-alpine-guide-3-tent,7.5,3-person,489
https://www.rei.com/product/147391/big-agnes-c-bar-3-footprint,9999,None,50
https://www.rei.com/product/147160/big-agnes-battle-mountain-3-tent,8.8125,3-person,849.95
https://www.rei.com/product/147294/msr-freelite-1-tent,2.5,1-person,389.95
https://www.rei.com/product/132679/big-agnes-copper-spur-hv-3-expedition-footprint,9999,None,80
https://www.rei.com/product/147296/msr-zoic-1-tent,3.75,1-person,299.95
https://www.rei.com/product/114820/tentsile-flite-tree-tent,9999,2-person,350
